WAST,S,SR,T,,,,
3/1/2007 17:50,6,199,18.45,,,,
3/1/2007 18:00,8,199,18.64,,,,
3/1/2007 18:10,8,93,18.43,,,,
3/1/2007 18:20,8,98,18.2,,,,29.25
3/1/2007 18:30,8,86,18.37,,,,
3/1/2007 18:40,9,84,18.31,,,,
4/1/2007 12:00,9,683,23.52,,,,
4/1/2007 12:10,9,468,22.59,,,,
5/1/2007 5:10,0,23,9.34,,,,
5/1/2007 5:20,0,9,9.14,,,,
5/1/2007 5:30,0,21,9.04,,,,
5/1/2007 5:40,0,24,8.84,,,,
18/06/2007 10:30,10,447,13.6,,,,
18/06/2007 10:40,12,460,13.66,,,,
18/06/2007 10:50,12,468,13.93,,,,
15/07/2007 6:00,0,15,5.01,,,,
15/07/2007 6:10,0,16,4.91,,,,
16/10/2007 23:30,1,21,15.87,,,,
16/10/2007 23:40,3,23,16.14,,,,
16/10/2007 23:50,0,18,16.18,,,,
17/10/2007 0:00,0,14,16.34,,,,
19/11/2007 18:50,7,32,15.69,,,,
19/11/2007 19:00,7,29,15.76,,,,
19/11/2007 19:00,12,35,15.76,,,,
19/11/2007 19:10,7,5,15.71,,,,
19/11/2007 19:10,7,5,15.71,,,,
1/1/2012 11:50,4,567,26.42,,,,
1/1/2012 12:00,5,422,26.15,,,,
1/1/2012 12:10,4,335,25.69,,,,
1/1/2012 12:20,4,286,25.58,,,,
13/03/2012 4:50,6,25,20.44,,,,
13/03/2012 5:00,6,23,20.51,,,,
13/03/2012 5:10,6,19,20.52,,,,
