WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
3/1/2007 17:50,12.2,183,21,105.32,1002.6,1006,1006.2,16.5,66.8,6,199,22.4,23.7,25.9,26.2,11,18.45
3/1/2007 18:00,12.3,183,25,105.56,1002.8,1006.1,1006.4,16.5,66.4,8,199,22.5,23.7,25.9,26.2,15,18.64
3/1/2007 18:10,11.7,172,23,105.79,1003.1,1006.6,1006.7,16.5,65,8,93,22.5,23.7,25.9,26.2,12,18.43
3/1/2007 18:20,11.8,172,23,106.01,1003,1006.5,1006.6,16.5,66.2,8,98,22.5,23.7,25.9,26.2,13,18.2
3/1/2007 18:30,11.9,160,19,106.23,1003.2,1006.7,1006.8,16.5,66.1,8,86,22.5,23.7,25.9,26.2,13,18.37
3/1/2007 18:40,11.6,160,20,106.48,1003.4,1006.9,1007,16.5,64.9,9,84,22.5,23.8,25.9,26.2,17,18.31
4/1/2007 12:00,7.5,152,24,130.4,1005.2,1008.6,1008.8,16.5,35.7,9,683,23.8,22.5,25.2,26,16,23.52
4/1/2007 12:10,7.4,160,22,130.95,1005.3,1008.7,1008.9,16.5,37.5,9,468,24.1,22.5,25.2,26,16,22.59
5/1/2007 5:10,7.6,126,0,157.2,1010.7,1014.3,1014.3,16.5,88.8,0,23,18.6,23.8,25.1,25.7,0,9.34
5/1/2007 5:20,7.5,127,0,157.2,1010.6,1014.2,1014.2,16.5,89.4,0,9,18.5,23.8,25.1,25.7,3,9.14
5/1/2007 5:30,7.5,149,12,157.2,1010.7,1014.3,1014.3,16.5,90.1,0,21,18.4,23.7,25.1,25.7,3,9.04
5/1/2007 5:40,7.4,159,1,157.2,1010.8,1014.4,1014.4,16.5,90.8,0,24,18.2,23.7,25.1,25.7,0,8.84
18/06/2007 10:30,7.5,100,17,3142.69,1024,1027.6,1027.6,44.8,66.6,10,447,11.1,12.4,15,17.5,16,13.6
18/06/2007 10:40,7.3,98,16,3143.03,1024,1027.6,1027.6,44.8,65.5,12,460,11.3,12.4,15,17.5,18,13.66
18/06/2007 10:50,7.5,97,16,3143.37,1023.9,1027.5,1027.5,44.8,65.1,12,468,11.6,12.5,15,17.5,19,13.93
15/07/2007 6:00,4.6,162,0,3781.15,1020.8,1024.5,1024.4,162.3,97.5,0,15,10.9,13.5,15.2,16.4,0,5.01
15/07/2007 6:10,4.5,159,6,3781.14,1020.8,1024.5,1024.4,162.3,97.5,0,16,10.8,13.4,15.2,16.4,4,4.91
16/10/2007 23:30,15.4,251,5,5691.07,1009.9,1013.4,1013.5,504.3,97.1,1,21,22.3,22.5,21.1,19.6,4,15.87
16/10/2007 23:40,15.7,240,11,5691.07,1009.7,1013.2,1013.3,504.3,97.5,3,23,22.2,22.4,21.1,19.6,5,16.14
16/10/2007 23:50,15.8,195,9,5691.06,1009.4,1012.9,1013,504.3,97.5,0,18,22.1,22.4,21.1,19.6,2,16.18
17/10/2007 0:00,16,216,23,5691.05,1009.5,1013,1013.1,504.3,97.6,0,14,22,22.3,21.1,19.5,0,16.34
19/11/2007 18:50,5.9,222,28,7093.34,1015.6,1019.1,1019.2,524.6,52.3,7,32,28.6,25.5,23.8,22.9,13,15.69
19/11/2007 19:00,6,214,32,7093.6,1015.7,1019.2,1019.3,524.6,52.4,7,29,28.5,25.5,23.8,22.9,13,15.76
19/11/2007 19:00,6,214,32,7093.6,1015.7,1019.2,1019.3,524.6,52.4,12,35,28.5,25.5,23.8,22.9,13,15.76
19/11/2007 19:10,7.1,217,32,7093.83,1015.8,1019.3,1019.4,524.6,56.5,7,5,28.3,25.5,23.8,22.9,12,15.71
19/11/2007 19:10,7.1,217,32,7093.83,1015.8,1019.3,1019.4,524.6,56.5,7,5,28.3,25.5,23.8,22.9,12,15.71
